id,name,phone,email,account_number,card_number,aadhaar_number,pan_number,ifsc_code,pincode
1,Mohammed Shah,6721175500,mohammed.shah@rediffmail.com,774428714227,1333204190268310,679883481367,RBQNG4296H,IOBA0L1C32O,400001
2,Yash Desai,8248611757,yash.desai439@outlook.com,914781165354,2596187732107797,516851319995,MCJZU2250X,KKBK039TEX8,560034
3,Amit Nayar,9997673638,amit.nayar@yahoo.com,005507000352,4578524406348066,078115114808,WCQOA0724P,UTIB056FAO7,800020
4,Meera Saxena,9677641207,meera.saxena63@gmail.com,558190156,2182564559272362,370499022988,JEVSP9608J,IOBA0D5J60F,700019
5,Anjali Malhotra,8262498042,anjali.malhotra4@yahoo.com,1475196103540,3990366358979217,141974672173,BMFXJ8826M,BARB0KC1MSY,751001
6,Shreya Tiwari,6191921473,shreya.tiwari@hotmail.com,104586971499661956,3651637154832763,465797626609,GIUDB9674U,INDB0GZRIXA,800001
7,Anita Mehta,9286459114,anita.mehta544@hotmail.com,884941847827424723,8013124340837908,549238857784,HMKRU7899R,SBIN06VXDP5,560034
8,Vivaan Bhatia,9343829484,vivaan.bhatia@outlook.com,676791011652,6716718910369370,661786197343,NIWVC9687N,ICIC008J3TR,380009
9,Rekha Trivedi,8329247563,rekha.trivedi507@yahoo.com,2738720907476647,0263545473722111,571247952112,EANHZ5618P,HDFC05UQPGB,751007
10,Priya Shah,6406015391,priya.shah783@rediffmail.com,725448936679226110,0452277469766945,698013752166,YNMCB4320V,INDB0VA13U1,560034
11,Priya Nayar,9915640336,priya.nayar@outlook.com,629854339459654,1376725946196215,509941847528,ZGOJX5882Z,CNRB0M2JA04,226001
12,Farhan Bose,7443739892,farhan.bose@hotmail.com,349397619,1931809018907263,036596845626,HFCZT7112A,SBIN0LCMPIO,682016
13,Lakshmi Rao,7163645264,lakshmi.rao@hotmail.com,6143564281342,5592962567064927,636667686963,LPTCH7115L,YESB0SJF678,700019
14,Manoj Tiwari,6407266385,manoj.tiwari93@gmail.com,5466589120859,2089341934081467,947140449034,YWCRO9331D,KKBK0DHX8BM,560001
15,Lakshmi Desai,7072283190,lakshmi.desai@yahoo.com,21600723107574751,5907854904464900,602653954607,WQTSF4234N,UBIN0DPXNF7,400001
16,Sai Patel,6473109564,sai.patel895@icloud.com,963526218,3758898660982173,308541607243,JSUOC0166I,KKBK0XRPJ1E,380009
17,Krishna Saxena,9532902977,krishna.saxena297@gmail.com,441525633,7440344624919463,414408727065,FUJYQ1121E,IOBA0C8WQUU,682016
18,Komal Desai,8861043205,komal.desai318@hotmail.com,080886545,7848634101837512,445132435760,CRHSR9835E,BARB0LXXEZD,302017
19,Myra Tiwari,7687656433,myra.tiwari@outlook.com,1912755756865116,6970379677229791,654775411680,MJYSN1014Q,ICIC03D6357,380009
20,Vivaan Ansari,8293098671,vivaan.ansari294@icloud.com,74690219647,2126608456572035,165395750803,JTJBG6157E,SBIN0MMX3Y9,500034
21,Mohammed Rao,7074201095,mohammed.rao835@outlook.com,713783138,7839449587068530,636463083929,YBQJU6916Z,KKBK0BC2NNU,226010
22,Rohan Mukherjee,8375536217,rohan.mukherjee512@rediffmail.com,2249294184,8406833058879675,121705385603,ZSNTV0964V,YESB0M52XG8,380009
23,Pooja Singh,6531929520,pooja.singh202@yahoo.com,6065516939080,9722560856328446,144318393375,CGDLD0984F,BARB07ZGF9Q,395001
24,Rajesh Bose,6034250258,rajesh.bose689@outlook.com,01123400532345866,1039531640078518,193368555454,AICKH8865I,IOBA021UZVG,682001
25,Suresh Dutta,9160910316,suresh.dutta421@icloud.com,755943945,5686824922997764,459725583371,BYCYR7282R,UBIN0JD0IB6,600028
26,Mohammed Chopra,6134619916,mohammed.chopra902@hotmail.com,722076278094,8908717820269346,581528376703,HRFPQ4434D,ICIC09R7ANQ,700001
27,Diya Mishra,6232641698,diya.mishra789@icloud.com,6932944937,9788765755391892,518467484014,OORIA2020N,BARB0ZTC69Q,700019
28,Ira Rao,7796493893,ira.rao@icloud.com,19319879474324,1187066982054682,045771929557,VGWZN4255X,ICIC0WPR97Y,800020
29,Sneha Pandey,9421522814,sneha.pandey60@hotmail.com,53230435803600856,2293921777967323,246338487732,IBWTA5572G,BARB0IUIT7M,800001
30,Rekha Bose,9473151899,rekha.bose@gmail.com,748270536,6644050529086891,011582334592,RWQWT0350A,UBIN0GRP2U4,400070
31,Pallavi Nayar,6296529625,pallavi.nayar@yahoo.com,02188925586537,7607302066593674,253153722023,UEKJC9471C,ICIC0PUSDDT,226010
32,Anjali Pandey,9047759256,anjali.pandey@outlook.com,2112273974641,0383844865366413,376973273919,ETASY2780Z,CNRB0YFKJFP,380001
33,Arjun Mukherjee,9559840978,arjun.mukherjee@gmail.com,636096379402,5555437553014919,134244463381,WQREZ2115O,UTIB02WGXO0,395001
34,Dhruv Mukherjee,9372780181,dhruv.mukherjee@hotmail.com,2856565386,8726011316541316,669541340301,VZNMR4840A,UTIB0KJTGQ0,800001
35,Neha Menon,6525957742,neha.menon@icloud.com,294384972853,7611220325372289,609799818278,TRMPG4468C,CNRB0SK7N8L,110001
36,Anita Patel,9668739843,anita.patel291@rediffmail.com,187870680914949983,8803066067740020,554031864208,CJHJV8660S,SBIN0VFMH07,226010
37,Zoya Mukherjee,7017539312,zoya.mukherjee@rediffmail.com,667686355720894145,5999185367970020,075654705623,NFVNK6860W,CNRB004CDPQ,226010
38,Vivaan Mishra,7177195771,vivaan.mishra130@icloud.com,7082075043,4532157250824319,859743472035,XEUZY0428K,HDFC0TAHUKW,500001
39,Saanvi Trivedi,9977571905,saanvi.trivedi@outlook.com,737329499,1202848475563506,128938342917,CCLID3744D,HDFC0FY3ZB4,411001
40,Rohan Patel,7930281985,rohan.patel@gmail.com,1710721469059091,6808819094743439,241666484034,QUGZO0374Z,KKBK0MULJAV,110001
41,Pallavi Agarwal,6843521225,pallavi.agarwal@yahoo.com,873881586907955198,4340225092179830,597889393131,EYUYQ1969Z,BARB0IVGLYE,160017
